bill_summary,summary,category,policy_text,type,website
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 1),Summary for Bill 1: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 1,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 2),Summary for Bill 2: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 2,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 3),Summary for Bill 3: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 3,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 4),Summary for Bill 4: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 4,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 5),Summary for Bill 5: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 5,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 6),Summary for Bill 6: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 6,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 7),Summary for Bill 7: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 7,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 8),Summary for Bill 8: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 8,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 9),Summary for Bill 9: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 9,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 10),Summary for Bill 10: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 10,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 11),Summary for Bill 11: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 11,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 12),Summary for Bill 12: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 12,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 13),Summary for Bill 13: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 13,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 14),Summary for Bill 14: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 14,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 15),Summary for Bill 15: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 15,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 16),Summary for Bill 16: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 16,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 17),Summary for Bill 17: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 17,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 18),Summary for Bill 18: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 18,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 19),Summary for Bill 19: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 19,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 20),Summary for Bill 20: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 20,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 21),Summary for Bill 21: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 21,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 22),Summary for Bill 22: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 22,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 23),Summary for Bill 23: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 23,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 24),Summary for Bill 24: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 24,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 25),Summary for Bill 25: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 25,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 26),Summary for Bill 26: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 26,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 27),Summary for Bill 27: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 27,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 28),Summary for Bill 28: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 28,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 29),Summary for Bill 29: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 29,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 30),Summary for Bill 30: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 30,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 31),Summary for Bill 31: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 31,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 32),Summary for Bill 32: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 32,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 33),Summary for Bill 33: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 33,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 34),Summary for Bill 34: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 34,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 35),Summary for Bill 35: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 35,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 36),Summary for Bill 36: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 36,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 37),Summary for Bill 37: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 37,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 38),Summary for Bill 38: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 38,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 39),Summary for Bill 39: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 39,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 40),Summary for Bill 40: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 40,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 41),Summary for Bill 41: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 41,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 42),Summary for Bill 42: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 42,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 43),Summary for Bill 43: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 43,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 44),Summary for Bill 44: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 44,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 45),Summary for Bill 45: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 45,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 46),Summary for Bill 46: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 46,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 47),Summary for Bill 47: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 47,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 48),Summary for Bill 48: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 48,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 49),Summary for Bill 49: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 49,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 50),Summary for Bill 50: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 50,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 51),Summary for Bill 51: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 51,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 52),Summary for Bill 52: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 52,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 53),Summary for Bill 53: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 53,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 54),Summary for Bill 54: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 54,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 55),Summary for Bill 55: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 55,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 56),Summary for Bill 56: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 56,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 57),Summary for Bill 57: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 57,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 58),Summary for Bill 58: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 58,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 59),Summary for Bill 59: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 59,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 60),Summary for Bill 60: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 60,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 61),Summary for Bill 61: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 61,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 62),Summary for Bill 62: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 62,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 63),Summary for Bill 63: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 63,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 64),Summary for Bill 64: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 64,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 65),Summary for Bill 65: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 65,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 66),Summary for Bill 66: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 66,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 67),Summary for Bill 67: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 67,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 68),Summary for Bill 68: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 68,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 69),Summary for Bill 69: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 69,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 70),Summary for Bill 70: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 70,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 71),Summary for Bill 71: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 71,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 72),Summary for Bill 72: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 72,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 73),Summary for Bill 73: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 73,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 74),Summary for Bill 74: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 74,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 75),Summary for Bill 75: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 75,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 76),Summary for Bill 76: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 76,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 77),Summary for Bill 77: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 77,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 78),Summary for Bill 78: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 78,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 79),Summary for Bill 79: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 79,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 80),Summary for Bill 80: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 80,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 81),Summary for Bill 81: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 81,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 82),Summary for Bill 82: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 82,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 83),Summary for Bill 83: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 83,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 84),Summary for Bill 84: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 84,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 85),Summary for Bill 85: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 85,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 86),Summary for Bill 86: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 86,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 87),Summary for Bill 87: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 87,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 88),Summary for Bill 88: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 88,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 89),Summary for Bill 89: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 89,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 90),Summary for Bill 90: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 90,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 91),Summary for Bill 91: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 91,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 92),Summary for Bill 92: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 92,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 93),Summary for Bill 93: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 93,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 94),Summary for Bill 94: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 94,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 95),Summary for Bill 95: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 95,Economic Stimulus,https://www.usa.gov/economic-stimulus
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 96),Summary for Bill 96: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 1,Policy 96,Infrastructure Development,https://www.transportation.gov/infrastructure
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 97),Summary for Bill 97: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 2,Policy 97,Public Health,https://www.healthcare.gov
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 98),Summary for Bill 98: This bill aims to address key issues in social services. Funding allocations are made to improve national stability and create job opportunities.,Category 3,Policy 98,Nutritional Support,https://www.usa.gov/food-stamps
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 99),Summary for Bill 99: This bill aims to address key issues in economy. Funding allocations are made to improve national stability and create job opportunities.,Category 4,Policy 99,Small Business Support,https://www.sba.gov/funding-programs
A Bill to Provide for Reconciliation Pursuant to Title II of S. Con. Res. 14 (Bill 100),Summary for Bill 100: This bill aims to address key issues in infrastructure. Funding allocations are made to improve national stability and create job opportunities.,Category 0,Policy 100,Economic Stimulus,https://www.usa.gov/economic-stimulus
